,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
8854599,2330995,335249,1.0,1,-1444.0,-1455.0,15406.02,15406.02
8868835,2716898,335249,1.0,37,-345.0,-351.0,24643.8,24643.8
8891665,2330995,335249,2.0,3,-1384.0,-1374.0,15275.52,5841.585
8942725,1366861,335249,2.0,11,-1488.0,-1518.0,23703.075,1048.14
8968094,2716898,335249,1.0,33,-465.0,-477.0,24643.8,24643.8
8982357,1366861,335249,2.0,12,-1458.0,-1457.0,23703.075,23703.075
9081784,2716898,335249,1.0,6,-1275.0,-1304.0,24643.8,24643.8
9205627,2716898,335249,1.0,12,-1095.0,-1129.0,24643.8,24643.8
9276917,2716898,335249,1.0,16,-975.0,-1000.0,24643.8,24643.8
9300173,1711860,335249,1.0,4,-1901.0,-1910.0,4511.025,4511.025
9389901,2716898,335249,1.0,31,-525.0,-532.0,24643.8,24643.8
9427082,1366861,335249,1.0,1,-1788.0,-1798.0,23833.575,23833.575
9588355,2716898,335249,1.0,22,-795.0,-812.0,24643.8,24643.8
9641711,2746137,335249,1.0,6,-2053.0,-2059.0,18822.285,18822.285
9816268,2716898,335249,1.0,21,-825.0,-843.0,24643.8,24643.8
9836972,1711860,335249,1.0,5,-1871.0,-1878.0,4511.025,4511.025
9912625,2746137,335249,1.0,2,-2173.0,-2179.0,18822.285,18822.285
9963501,1711860,335249,1.0,6,-1841.0,-1844.0,4511.025,4511.025
10012003,1366861,335249,2.0,10,-1518.0,-1518.0,23703.075,23703.075
10041252,1366861,335249,2.0,2,-1758.0,-1773.0,23703.075,23703.075
10068032,1366861,335249,3.0,13,-1428.0,-1455.0,127455.885,127455.885
10127614,2746137,335249,1.0,11,-1903.0,-1910.0,18822.285,18822.285
10311256,2746137,335249,1.0,8,-1993.0,-2002.0,18822.285,18822.285
10336639,2716898,335249,1.0,11,-1125.0,-1154.0,24643.8,24643.8
10386678,2716898,335249,1.0,19,-885.0,-905.0,24643.8,24643.8
10462957,1711860,335249,1.0,3,-1931.0,-1940.0,4511.025,4511.025
10500307,2716898,335249,1.0,32,-495.0,-511.0,24643.8,24643.8
10545106,2716898,335249,1.0,7,-1245.0,-1273.0,24643.8,24643.8
10595071,2716898,335249,1.0,26,-675.0,-684.0,24643.8,24643.8
10598016,2330995,335249,3.0,4,-1354.0,-1374.0,98172.0,98172.0
10614485,1711860,335249,1.0,1,-1991.0,-2002.0,4511.025,4511.025
10658638,2716898,335249,1.0,4,-1335.0,-1374.0,24643.8,24643.8
10694070,2746137,335249,1.0,1,-2203.0,-2214.0,18822.285,18822.285
10750832,2716898,335249,1.0,3,-1365.0,-1374.0,24643.8,24643.8
10885149,2716898,335249,1.0,36,-375.0,-379.0,24643.8,24643.8
10973835,2746137,335249,1.0,9,-1963.0,-1969.0,18822.285,18822.285
11043369,2716898,335249,1.0,27,-645.0,-651.0,24643.8,24643.8
11105096,2330995,335249,2.0,2,-1414.0,-1434.0,15275.52,15275.52
11121754,2716898,335249,1.0,29,-585.0,-588.0,24643.8,24643.8
11225623,1366861,335249,2.0,9,-1548.0,-1548.0,23703.075,23703.075
11280530,2746137,335249,1.0,5,-2083.0,-2087.0,18822.285,18822.285
11292485,2716898,335249,1.0,25,-705.0,-714.0,24643.8,24643.8
11321329,2716898,335249,1.0,10,-1155.0,-1185.0,24643.8,24643.8
11357687,1366861,335249,2.0,11,-1488.0,-1479.0,23703.075,22654.935
11398719,2716898,335249,1.0,18,-915.0,-938.0,24643.8,24643.8
11415094,1366861,335249,2.0,6,-1638.0,-1640.0,23703.075,23703.075
